,price,bedroom,bathroom,sqm,developer,built_year,district,luxuary,public,BRT_distance,BTS_distance,MRT_distance,APL_distance,feature
0,8925000,1,1,33,Sansiri - แสนสิริ จำกัด (มหาชน),2018,Ratchathewi,3,2,no,220,no,no,"['pool', 'Multi-purpose hall', 'sauna', 'Library', 'security', 'Jacuzzi', 'car park', 'fitness']"
1,3300000,0,1,33.51,no,2012,Ratchathewi,1,1,no,810,760,570,"['pool', 'Mini-Mart', 'sauna', 'security', 'fitness']"
2,8290000,1,1,60,Supalai - ศุภาลัย จำกัด (มหาชน),2015,Ratchathewi,1,0,no,no,no,370,"['pool', 'sauna', 'security', 'fitness']"
3,9900000,2,2,66,no,2012,Ratchathewi,1,0,no,170,180,140,"['cook', 'Maidsroom', 'Water Heater', 'Corner Unit', 'view', 'balcony', 'Air-Conditioning']"
4,8320000,1,1,35,Sansiri - แสนสิริ จำกัด (มหาชน),2018,Ratchathewi,3,2,no,220,no,no,"['pool', 'Multi-purpose hall', 'sauna', 'Library', 'security', 'Jacuzzi', 'car park', 'fitness']"
5,4650000,1,1,22,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2012,Ratchathewi,0,0,no,280,no,350,"['balcony', 'Private Garden', 'Air-Conditioning']"
6,10400000,1,2,80,TCC Capital land - ทีซีซี แคปปิตอล แลนด์ จำกัด,2013,Ratchathewi,3,1,no,230,150,250,"['Function room', 'pool', 'sauna', 'security', 'car park', 'Driving range', 'Karaoke', 'fitness']"
7,5500000,1,1,31,Pruksa Real Estate - พฤกษา เรียลเอสเตท จำกัด (มหาชน),2013,Ratchathewi,2,0,no,150,no,no,"['pool', 'sauna', 'security', 'fitness']"
8,16500000,2,2,66,Sansiri - แสนสิริ จำกัด (มหาชน),2013,Ratchathewi,0,0,no,30,no,no,"['cook', 'Washing Machine', 'Water Heater', 'Bed', 'furniture', 'tv', 'Fridge', 'Renovated', 'Air-Conditioning']"
9,8000000,1,1,68,no,2012,Ratchathewi,0,0,no,810,760,570,"['view', 'security', 'car park']"
10,10500000,1,1,45,Sansiri - แสนสิริ จำกัด (มหาชน),2013,Ratchathewi,0,0,no,30,no,no,"['Private Garden', 'Air-Conditioning']"
11,13500000,2,2,97,TCC Capital land - ทีซีซี แคปปิตอล แลนด์ จำกัด,2013,Ratchathewi,3,1,no,230,150,250,"['Function room', 'pool', 'sauna', 'security', 'car park', 'Driving range', 'Karaoke', 'fitness']"
12,12000000,1,1,47,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2019,Ratchathewi,0,1,no,40,no,690,"['security', 'Lounge', 'fitness']"
13,6490000,1,1,35,no,2017,Ratchathewi,2,2,no,340,no,500,"['pool', 'Multi-purpose hall', 'Sky Lounge', 'sauna', 'Library', 'security', 'car park', 'fitness']"
14,6170000,1,1,26,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2015,Ratchathewi,0,0,no,260,no,no,"['security', 'car park', 'fitness']"
15,8431223,2,2,58,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2020,Ratchathewi,2,0,no,640,340,540,"['pool', 'Sky Lounge', 'sauna', 'security', 'car park', 'fitness']"
16,3653634,1,1,27,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2020,Ratchathewi,2,0,no,640,340,540,"['pool', 'Sky Lounge', 'sauna', 'security', 'car park', 'fitness']"
17,7500000,1,1,44,TCC Capital land - ทีซีซี แคปปิตอล แลนด์ จำกัด,2010,Ratchathewi,1,1,no,280,no,no,"['pool', 'BBQ pits', 'sauna', 'security', 'car park', 'fitness']"
18,7600000,1,1,35,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2018,Ratchathewi,1,0,no,160,no,540,"['pool', 'Sky Lounge', 'security', 'car park', 'fitness']"
19,4800000,1,1,31,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2016,Ratchathewi,1,2,no,580,370,530,"['pool', 'Mini-Mart', 'Multi-purpose hall', 'sauna', 'security', 'car park', 'fitness']"
20,2250000,1,1,35,no,2012,Ratchathewi,0,0,no,670,530,450,"['cook', 'Washing Machine', 'Water Heater', 'Bed', 'view', 'furniture', 'tv', 'High Floor', 'Fridge', 'balcony', 'Air-Conditioning']"
21,7300000,1,1,49,TCC Capital land - ทีซีซี แคปปิตอล แลนด์ จำกัด,2013,Ratchathewi,3,1,no,230,150,250,"['Function room', 'pool', 'sauna', 'security', 'car park', 'Driving range', 'Karaoke', 'fitness']"
22,3300000,1,1,27,L.P.N. Development - แอล.พี.เอ็น.ดีเวลลอปเม้นท์ จำกัด (มหาชน),2017,Ratchathewi,0,0,no,880,820,630,"['Water Heater', 'Bed', 'tv', 'furniture', 'Fridge', 'Renovated', 'Air-Conditioning']"
23,13300000,2,2,85,TCC Capital land - ทีซีซี แคปปิตอล แลนด์ จำกัด,2013,Ratchathewi,0,0,no,no,no,no,"['Broadband Internet', 'security', 'car park', 'view', 'Air-Conditioning']"
24,8100000,1,1,60,Supalai - ศุภาลัย จำกัด (มหาชน),2015,Ratchathewi,1,0,no,no,no,370,"['pool', 'sauna', 'security', 'fitness']"
