,price
672,5590000
1864,22506000
2601,35220000
1746,11200000
2194,26150000
5345,3560000
1236,3500000
294,7500000
533,6150000
6056,11900000
1039,6500000
445,7090000
615,6500000
7135,9900000
5400,3820000
6515,4390000
895,13390000
4147,8000000
4493,2050000
62,9200000
5420,5100000
5811,40500000
5683,6200000
5115,1490000
6796,4950000
108,11800000
538,14214000
7566,4915000
4981,8455000
2065,7500000
2534,9500000
7108,24500000
2701,18710000
2827,5390000
5424,14000000
801,6800000
329,9800000
331,6500000
6018,38000000
2111,7800000
5024,5300000
7024,11200000
6609,3800000
5490,4691650
5483,4090000
1469,6150000
3586,18300000
4878,1490000
356,6300000
6025,43000000
2296,8900000
1444,28000000
5611,6290000
6067,6900000
1611,10245000
5599,4338400
2109,60000000
741,4400000
5299,4638090
2191,13000000
3145,3700000
725,7200000
2216,95000000
5040,2200000
6255,10500000
2136,6500000
5691,4500000
5306,4990000
4461,2290000
7140,5500000
5425,12150000
676,5000000
5334,6900000
3922,21900000
1463,17500000
6817,15000000
2495,43400000
1072,18860000
7682,43638000
3543,11700000
5056,3400000
1095,4990000
7176,7000000
2341,27900000
7481,2890000
3402,13340000
3434,23488000
1400,88545810
2555,101362710
54,7000000
1507,54000000
94,15400000
5020,5450000
1409,80000000
2824,9890000
3681,18000000
4938,3050000
1593,15999000
6788,15000000
1128,3400000
6904,7000000
1603,15990000
1476,99000000
5736,4990000
6487,12750000
7136,4900000
5845,4300000
2349,58000000
4649,16050000
5605,17500000
5394,5885000
5126,3690000
4902,12202800
5418,8050000
6180,5600000
3219,5650000
6743,4500000
357,4350000
1458,52000000
2293,18800000
5136,2790000
4039,15900000
4963,11000000
249,3278379
1011,11400000
3820,25000000
6234,5500000
447,8820000
4496,2950000
2465,30000000
7470,4950000
2076,11900000
2651,66680000
1704,24060000
4648,2800000
7037,15900000
751,4200000
6310,12945000
2789,3860000
513,5590000
629,8140000
4621,1300000
1335,2450000
3475,63000
3322,14390000
888,14500000
6761,5190000
1330,2100000
6762,7500000
5630,45000000
2437,3290000
955,9268970
5342,6500000
3580,24560000
1930,6398000
2144,38000000
6948,26300000
1847,8890000
588,3400000
5988,17350000
1497,22700000
6601,5000000
6242,7725000
5940,18700000
624,9400000
992,7242000
3563,7462250
2628,83029115
4947,3400000
1616,58900000
887,18800000
1438,17200000
7657,3500000
352,6800000
1633,4830000
4505,2950000
826,13500000
5663,2150000
3480,6900000
2911,5500000
6527,7900000
905,6900000
7089,15500000
4356,15500000
2842,14738928
6504,27900000
1294,2990000
6733,3700000
7670,2990000
767,5600000
7019,4950000
5861,16500000
2179,23000000
6191,24000000
6148,39800000
2994,4500000
5022,3200000
1890,6050000
280,13800000
6199,34750000
4851,2390000
2560,4650000
40,8400000
3644,54000000
7128,4750000
1952,5200000
1157,2840000
337,8600000
7114,16950000
922,20589700
628,3890000
4397,11300000
6607,11400000
3083,5100000
3620,5300000
5187,8350000
7269,12385200
6682,15650000
1048,28500000
4562,3000000
6222,2400000
844,27820000
123,19500
2777,5139000
1763,36400000
4599,1400000
5317,5900000
5589,16500000
1389,3600000
2690,12800000
5023,3550000
6623,16000000
5261,8560000
5834,13900000
3619,22000000
5760,3990000
7046,8900000
1104,5480000
5273,40000000
3738,13900000
5535,23900000
5729,10090000
1457,11800000
1606,13400000
2161,4280000
5973,29000000
639,3900000
3103,6790000
5586,18500000
7706,5800000
585,16190000
1535,8500000
959,23500000
6649,3850000
757,10720000
2021,14935000
3942,10000000
4101,16950000
2397,3490000
2514,32000000
6188,16900000
4360,109000000
6139,8200000
5231,2678000
4906,4100000
577,10000000
6612,10000000
4719,2100000
5915,3550000
4692,3300000
2958,3050000
6331,7500000
5839,28500000
6326,17565000
100,8000000
5139,4900000
3398,25000000
6565,4100000
5804,19000000
3597,90000000
1218,3390000
6977,29000000
2113,12000000
1694,48964135
1801,8900000
7090,4815000
4957,1600000
213,7990000
5113,2590000
5531,6200000
4752,1800000
4688,6350000
6961,17000000
2120,8800000
5929,2450000
4894,6000000
1057,49920000
1298,6300000
2641,18970000
4237,11500000
2880,4100000
6815,5400000
5290,5500000
2270,15000000
7455,4160790
2275,2890000
4633,30000000
3207,3400000
5868,30900000
382,13900000
5240,3890000
5121,2990000
6720,5800000
6304,12800000
5780,5290000
3417,6999000
5897,5500000
882,24000000
7178,13900000
5947,10300000
223,5950000
3957,12222300
5236,16000000
5844,4700000
5226,3270000
6578,26000000
2800,2900000
3194,3950000
208,4670000
3005,1390000
1433,59000000
1058,25240000
6475,13000000
5185,3800000
2409,29000000
1413,7300000
4954,2390000
4537,1790000
1996,92982730
6162,3290000
6704,5650000
1003,15500000
5808,6050000
